# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

2.55	0.25	-0.00222615	-8.6695e-05
2.65	0.25	-0.00215258	-0.000103042
2.75	0.25	-0.00206539	-0.000123501
2.85	0.25	-0.00196593	-0.000142545
2.95	0.25	-0.00185694	-0.00015752
3.05	0.25	-0.00173841	-0.000176579
3.15	0.25	-0.00160626	-0.000184759
3.25	0.25	-0.00146321	-0.000202477
3.35	0.25	-0.0013188	-0.000218838
3.45	0.25	-0.00115803	-0.00022839
3.55	0.25	-0.000997271	-0.000229746
3.65	0.25	-0.000831059	-0.000235185
3.75	0.25	-0.000659397	-0.000247464
3.85	0.25	-0.000490461	-0.000244707
3.95	0.25	-0.000310625	-0.000240594
4.05	0.25	-0.000140326	-0.000237927
4.15	0.25	2.58856e-05	-0.000236526
4.25	0.25	0.00018801	-0.000222921
4.35	0.25	0.000341961	-0.00021337
4.45	0.25	0.000490462	-0.000201136
4.55	0.25	0.000629425	-0.000186101
4.65	0.25	0.00075749	-0.000169829
4.75	0.25	0.000873293	-0.000153467
4.85	0.25	0.000978198	-0.000127584
4.95	0.25	0.00106675	-0.000115305
5.05	0.25	0.00114032	-9.48757e-05
5.15	0.25	0.0012098	-7.5832e-05
5.25	0.25	0.00126294	-5.53727e-05
5.35	0.25	0.00129563	-3.36021e-05
5.45	0.25	0.00132288	-1.31428e-05
5.55	0.25	0.00133651	1.86265e-06
5.65	0.25	0.00133923	1.95801e-05
5.75	0.25	0.00132697	3.18289e-05
5.85	0.25	0.0013079	5.22584e-05
5.95	0.25	0.00127792	6.99908e-05
6.05	0.25	0.0012316	7.95126e-05
6.15	0.25	0.00118392	9.31472e-05
6.25	0.25	0.00112806	0.000108093
6.35	0.25	0.00105994	0.000116289
6.45	0.25	0.000982285	0.00013262
6.55	0.25	0.000896454	0.000144929
6.65	0.25	0.000809261	0.000150323
6.75	0.25	0.000715256	0.000159875
6.85	0.25	0.000613076	0.000170797
6.95	0.25	0.00050681	0.00017488
7.05	0.25	0.000395094	0.000178963
7.15	0.25	0.00028474	0.000181735
7.25	0.25	0.000166212	0.000185773
7.35	0.25	5.17709e-05	0.000180334
7.45	0.25	0	0
0.05	0.35	0	0
0.15	0.35	-9.53674e-05	0.000505924
0.25	0.35	-0.000292914	0.000503182
0.35	0.35	-0.000495911	0.000500485
0.45	0.35	-0.000693457	0.00048548
0.55	0.35	-0.000880105	0.000474587
0.65	0.35	-0.00106812	0.000456899
0.75	0.35	-0.00124795	0.000439152
0.85	0.35	-0.00140871	0.000417367
0.95	0.35	-0.00156266	0.000388786
1.05	0.35	-0.00171389	0.000360161
1.15	0.35	-0.00184877	0.000328839
1.25	0.35	-0.00196866	0.000294775
1.35	0.35	-0.00207356	0.000263438
1.45	0.35	-0.00216893	0.000226647
1.55	0.35	-0.00224795	0.000188485
1.65	0.35	-0.00231334	0.000158504
1.75	0.35	-0.00236647	0.000119001
1.85	0.35	-0.00239781	8.49515e-05
1.95	0.35	-0.00241552	4.81606e-05
2.05	0.35	-0.00242097	1.54972e-05
2.15	0.35	-0.00241688	-2.53916e-05
2.25	0.35	-0.00239645	-5.67287e-05
2.35	0.35	-0.00236102	-9.35048e-05
2.45	0.35	-0.00231198	-0.000123486
2.55	0.35	-0.00225067	-0.000158906
2.65	0.35	-0.00217574	-0.000190258
2.75	0.35	-0.00208855	-0.000213429
2.85	0.35	-0.00199045	-0.000244722
2.95	0.35	-0.0018801	-0.000273347
3.05	0.35	-0.0017534	-0.000303313
3.15	0.35	-0.00162125	-0.000322402
3.25	0.35	-0.00148773	-0.000345558
