# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

2.95	0.35	0.179546	-0.0803898
3.05	0.35	0.210727	-0.0699603
3.15	0.35	0.237208	-0.0583038
3.25	0.35	0.258564	-0.0457957
3.35	0.35	0.274538	-0.0328094
3.45	0.35	0.285029	-0.0196982
3.55	0.35	0.29008	-0.00678292
3.65	0.35	0.289862	0.00566101
3.75	0.35	0.284647	0.0174083
3.85	0.35	0.274789	0.0282879
3.95	0.35	0.260697	0.0381788
4.05	0.35	0.242815	0.0470086
4.15	0.35	0.221602	0.0547446
4.25	0.35	0.197521	0.0613871
4.35	0.35	0.171018	0.0669598
4.45	0.35	0.142522	0.0715028
4.55	0.35	0.11244	0.0750619
4.65	0.35	0.0811532	0.0776827
4.75	0.35	0.0490239	0.0794047
4.85	0.35	0.0163962	0.0802585
4.95	0.35	0	0
0.05	0.45	0	0
0.15	0.45	-0.0169055	0.113561
0.25	0.45	-0.0505609	0.112387
0.35	0.45	-0.0837463	0.110015
0.45	0.45	-0.116132	0.1064
0.55	0.45	-0.147366	0.10148
0.65	0.45	-0.177072	0.095183
0.75	0.45	-0.204839	0.0874338
0.85	0.45	-0.230226	0.0781661
0.95	0.45	-0.252762	0.0673337
1.05	0.45	-0.271951	0.0549244
1.15	0.45	-0.28729	0.0409733
1.25	0.45	-0.298282	0.0255726
1.35	0.45	-0.304456	0.00888496
1.45	0.45	-0.305395	-0.00885042
1.55	0.45	-0.300761	-0.0273159
1.65	0.45	-0.290328	-0.0461165
1.75	0.45	-0.274002	-0.0647889
1.85	0.45	-0.251851	-0.0828182
1.95	0.45	-0.22412	-0.0996576
2.05	0.45	-0.191241	-0.114753
2.15	0.45	-0.153833	-0.127577
2.25	0.45	-0.112692	-0.137657
2.35	0.45	-0.0687645	-0.144606
2.45	0.45	-0.0231153	-0.148151
2.55	0.45	0.0231164	-0.148151
2.65	0.45	0.0687653	-0.144606
2.75	0.45	0.112693	-0.137657
2.85	0.45	0.153834	-0.127577
2.95	0.45	0.191242	-0.114753
