#BLOCK HEADER time:0
#x	y	initial_phi	radius

#BLOCK HEADER time:0.5
#x	y	initial_phi	radius

#BLOCK HEADER time:1
#x	y	initial_phi	radius

#BLOCK HEADER time:1.5
#x	y	initial_phi	radius

#BLOCK HEADER time:0
#x	y	initial_phi	radius

0.860589	0.78616	-0.0842138	0.05
0.786459	0.819408	-0.0876717	0.05
0.822825	0.793186	-0.0923778	0.05
0.772921	0.822502	-0.0991837	0.05
0.84364	0.778686	-0.100541	0.05
0.816831	0.788876	-0.101157	0.05
0.812543	0.79088	-0.100963	0.05
0.766257	0.839862	-0.088263	0.05
0.785869	0.810858	-0.0986246	0.05
0.797698	0.825	-0.0700349	0.05
0.771355	0.848468	-0.0735984	0.05
1.00297	0.770006	-0.0390637	0.0291336
0.972565	0.790164	-0.0416954	0.021746
1.02782	0.775501	-0.0168891	0.014567
0.972376	0.739134	-0.0938892	0.05
0.94573	0.747254	-0.100083	0.05
1.00424	0.758508	-0.0495572	0.0394164
0.955615	0.781345	-0.0583861	0.0364426
0.993429	0.723909	-0.10007	0.05
0.953973	0.790371	-0.0514309	0.0285785
0.897438	0.761788	-0.100649	0.05
0.961085	0.76884	-0.066966	0.0461216
0.991277	0.771696	-0.0454834	0.0319855
0.941281	0.804652	-0.0400745	0.020805
0.916629	0.793498	-0.0590072	0.0430424
1.02325	0.77509	-0.0204669	0.0166858
0.999895	0.777071	-0.0349483	0.0236814
1.05224	0.71733	-0.0712944	0.05
1.03741	0.750226	-0.0350989	0.034539
1.06565	0.738842	-0.0323448	0.0358827
1.08739	0.735396	-0.0291047	0.0318156
1.0712	0.730205	-0.0416333	0.0428597
1.00631	0.737995	-0.0724405	0.05
1.12824	0.748247	-0.0105646	0.01
1.13588	0.71576	-0.0611719	0.0356672
1.08001	0.714528	-0.0625797	0.05
1.13261	0.703401	-0.0785288	0.0498932
1.14997	0.695416	-0.0910397	0.05
1.13648	0.718813	-0.056812	0.0322192
1.14876	0.752032	-0.00976393	0.01
1.01417	0.725755	-0.083676	0.05
1.08614	0.701428	-0.0810404	0.05
1.11927	0.731225	-0.0359855	0.0250395
1.2091	0.741237	-0.0401107	0.01
1.2025	0.758624	-0.0166387	0.010483
1.17964	0.736345	-0.039835	0.0104169
1.29019	0.743846	-0.00996367	0.01
1.24541	0.701521	-0.0841115	0.05
1.19485	0.758033	-0.0148621	0.0103499
1.28852	0.731291	-0.0277164	0.01
1.16355	0.728685	-0.0470701	0.0177147
1.27701	0.733129	-0.0305107	0.01
1.20357	0.750833	-0.0270721	0.01
1.25356	0.743899	-0.0276231	0.01
1.26657	0.711402	-0.0637181	0.0353229
1.28286	0.702444	-0.0700539	0.0401091
1.18273	0.699224	-0.0890882	0.0498285
1.27249	0.727745	-0.0396436	0.0166606
1.21058	0.70123	-0.0894635	0.048863
1.43827	0.723153	-0.0099735	0.01
1.31206	0.707689	-0.0526684	0.0264915
1.35042	0.740856	0.0106264	0.0191438
1.40287	0.697364	-0.058255	0.0286152
1.29258	0.687003	-0.0888511	0.05
1.34923	0.740673	0.00999038	0.0187468
1.4482	0.720925	-0.014586	0.01
