# CLEAR
#BLOCK HEADER time:0
#x	y	id	phi

3.35	2.15	-0.0661522	0
3.45	2.15	-0.0475154	0
3.55	2.15	-0.0286406	0
3.65	2.15	-0.00958367	0
1.35	2.25	-0.014628	0
1.45	2.25	-0.0341296	0
1.55	2.25	-0.0535312	0
1.65	2.25	-0.0727996	0
1.75	2.25	-0.0918861	0
1.85	2.25	-0.110716	0
1.95	2.25	-0.12917	0
2.05	2.25	-0.147044	0
2.15	2.25	-0.163977	0
2.25	2.25	-0.179289	0
2.35	2.25	-0.19169	0
2.45	2.25	-0.19901	0
2.55	2.25	-0.19901	0
2.65	2.25	-0.19169	0
2.75	2.25	-0.179289	0
2.85	2.25	-0.163977	0
2.95	2.25	-0.147044	0
3.05	2.25	-0.12917	0
3.15	2.25	-0.110716	0
3.25	2.25	-0.0918861	0
3.35	2.25	-0.0727995	0
3.45	2.25	-0.0535312	0
3.55	2.25	-0.0341297	0
3.65	2.25	-0.0146279	0
1.35	2.35	-0.0180517	0
1.45	2.35	-0.0378679	0
1.55	2.35	-0.0576462	0
1.65	2.35	-0.0773733	0
1.75	2.35	-0.0970294	0
1.85	2.35	-0.116583	0
1.95	2.35	-0.135982	0
2.05	2.35	-0.155132	0
2.15	2.35	-0.173842	0
2.25	2.35	-0.19169	0
2.35	2.35	-0.207574	0
2.45	2.35	-0.218377	0
2.55	2.35	-0.218377	0
2.65	2.35	-0.207574	0
2.75	2.35	-0.19169	0
2.85	2.35	-0.173842	0
2.95	2.35	-0.155132	0
3.05	2.35	-0.135982	0
3.15	2.35	-0.116583	0
3.25	2.35	-0.0970294	0
3.35	2.35	-0.0773732	0
3.45	2.35	-0.0576462	0
3.55	2.35	-0.037868	0
3.65	2.35	-0.0180517	0
1.35	2.45	-0.0197827	0
1.45	2.45	-0.039762	0
1.55	2.45	-0.059737	0
1.65	2.45	-0.0797061	0
1.75	2.45	-0.099667	0
1.85	2.45	-0.119616	0
1.95	2.45	-0.139546	0
2.05	2.45	-0.159446	0
2.15	2.45	-0.179289	0
2.25	2.45	-0.19901	0
2.35	2.45	-0.218377	0
2.45	2.45	-0.235858	0
2.55	2.45	-0.235858	0
2.65	2.45	-0.218377	0
2.75	2.45	-0.19901	0
2.85	2.45	-0.179289	0
2.95	2.45	-0.159446	0
3.05	2.45	-0.139546	0
3.15	2.45	-0.119616	0
3.25	2.45	-0.0996671	0
3.35	2.45	-0.0797061	0
3.45	2.45	-0.059737	0
3.55	2.45	-0.0397621	0
3.65	2.45	-0.0197827	0
1.35	2.55	-0.0197827	0
